ticket_id,customer_message,expected_intent,expected_action
TICKET_138,"Hi, I'm an Amazon prime user and I've just become a student, is it possible to change my account details to the 50% Prime student offer? May be the only way I can afford to keep my prime membership upon renewal",Other,Auto-handle
TICKET_139,"Darum geht es nicht. Ob heute Abend oder morgen. Es geht darum, dass es angeblich im Briefkasten sein soll und dann woanders ist.",Order Tracking,Escalate to Human
TICKET_140,El Fire Stick de @116928 ha hecho un upgrade genial de mi televisión. Me ha quedado una smart TV barata con apps muy buenas 🙌😎,Other,Escalate to Human
TICKET_141,@115850 Order ID: 171-7504339-9867535. return is complete and refund has issued. But i haven't received any amount till now.,Refund,Escalate to Human
TICKET_142,For the 1st time getting this kind of service from @115850. https://t.co/SukQcl9zVj,Escalation,Escalate to Human
TICKET_143,"@115821 I’m sitting here at hone the whole time and no knock on the door, no pkg but shows “delivered”. Tired of this. Not ordering anymore",Order Tracking,Escalate to Human
TICKET_144,So what's the benefit for prime membership? https://t.co/8Xueu2csvY,Escalation,Escalate to Human
TICKET_145,Es nacheinander bestellen ABER das scheint ja jetzt auch nicht zuklappen,Other,Escalate to Human
TICKET_146,"Tell me why Amazon has charged me $120 in the past 18 hours for a membership I don't use, and without my permission or any notice. What the actual fuck",Payment Issue,Escalate to Human
TICKET_147,"Ordered two #AmazonPrime items this week, orange tick and everything, both are coming at least three days after ordering. What BS is this @115830?",Order Tracking,Escalate to Human
TICKET_148,"Exchange was not avbl fr #Op5 in Mumbai, Hyderabad, Nagpur and Visakhapatnam @115850 Then why this offer? #TimePassOffer or #KiddingOffer",Escalation,Escalate to Human
TICKET_149,"@115850 They r saying they don't have tracking details after 1 st so, they r assuming parcel might have been lost or damaged in transit. So they r asking to request for either refund or replacement. After waiting for 11 days customer never expects such replies",Replacement,Escalate to Human
TICKET_150,am trying to use my U.K account in Poland I am getting told I will be emailed to verify my identity no emails tried since yest,Account Login,Escalate to Human
TICKET_151,Pretty disappointed that the usb stick we bought as a birthday present has less storage than advertised @115830,Replacement,Escalate to Human
TICKET_152,@119625 I have been using Amazon prime video for almost two months now and never found a single movie I have ever searched. 🤤😒 https://t.co/jKaur52lQE,Other ,Auto-handle
TICKET_153,"9 hours ago I was told it was, now it's lost or damaged.",Order Tracking,Escalate to Human
TICKET_154,Gonna make it socialize as much as i can,Other,Escalate to Human
TICKET_155,c'est dans ces moments là qu'on est content d'avoir acheté un jeu qui soit pas mainstream 🤔 https://t.co/bPC0YMwEuM,Other,Escalate to Human
TICKET_156,@158543 @127852 @127271 I ordered from @115830,Order Tracking,Auto-handle
TICKET_157,It was SUPPOSE to be delivered today. Prime. Yeah right. &amp; now it’s pushed to Monday. Might have to cancel if this keep going on.,Order Tracking,Escalate to Human
TICKET_158,#Amazonindia ?? #Pathetic #Disgusting #thief,Escalation,Escalate to Human
TICKET_159,It doesn't give me a specific date and it keeps changing!,Order Tracking,Escalate to Human
TICKET_160,ok merci,Other,Escalate to Human
TICKET_161,コンビニで受け取りたいのですがどうやって設定出来ますか？ あと、コンビニ受け取りだと支払いもそのコンビニで出来ますか？,Other,Escalate to Human
TICKET_162,Hi @115850 the payment for a recent order did not go through earlier but now the money has been debited twice. Kindly help.,Payment Issue,Escalate to Human
TICKET_163,"@115850 hi, I have a major query but before that a question. Does Amazon care for customers?",Escalation,Escalate to Human
TICKET_164,"@116316, why you ALWAYS do this to me? I like you so much. don't bring me down :'( https://t.co/O2owF8c15O",Other,Escalate to Human
TICKET_165,Me dicen que no pueden hacer nada. La gestión está en trámite y debe finalizarla la primera persona que me atendió y que no resuelve nada.,Escalation,Escalate to Human
TICKET_166,I’m going to start giving my business to @116062 or @Walmart - at least they can deliver a package on time. @115821 u should stop ‘guaranteeing’ delivery if 6 times out of the last 8 you couldn’t make it work. Same address 10 years! Why?,Escalation,Escalate to Human
TICKET_167,"@115821 BAM. 1-hour delivery from @117795. We have backup tennis balls, squeaky tennis balls, and this goofy loofa dog toy that is already cherished. https://t.co/j7SI2CFyJl",Other ,Auto-handle
TICKET_168,HEY!! @115821 if I’m paying for Prime why is it taking 4 days for you to get my package to my house?!,Order Tracking,Escalate to Human
TICKET_169,"@115821 when your order is due before 9pm and at 8.11pm they tell you, you might have it by next Wednesday! Not acceptable at all!! https://t.co/FgKv1U23XR",Order Tracking,Escalate to Human
TICKET_170,"amazon customer service, you did a great job. I successfully lost $199 for the item i returned to the seller. reason is the seller is not signed on the received item. return shipping has tracking and issue was just closed with u r investigation.Finally i am the looser",Refund,Escalate to Human
TICKET_171,£6 is a lot for me rn,Other,Escalate to Human
TICKET_172,Just did that and so far it seemed to help,Other,Auto-handle
TICKET_173,Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,Escalation,Escalate to Human
TICKET_174,@115851 @115850 what the hell are you doing you're supporting your seller.. It seems that you are no more interested in business https://t.co/reTAXJL8HN,Escalation,Escalate to Human
TICKET_175,Earlier they used to give that option. Now it's not available.,Other,Auto-handle
TICKET_176,"If I can’t access tracking, how will I know when this has arrived? Or what if it did arrive and it got taken off my porch? Amazon is usually spot on. https://t.co/Ji6Isew4tt",Order Tracking,Escalate to Human
TICKET_177,"@115850 team facing lots of issue with Amazon Pay balance since last 2 days ,order done then get cancelled itself balance is rs 1510",Payment Issue,Escalate to Human
TICKET_178,But it says it hasnt been dispatched yet and it was released last week...,Refund,Escalate to Human
TICKET_179,I received refund. Thanks,Refund,Auto-handle
TICKET_180,"i am worried, if they have delivered it anywhere else or i might not be receiving it ever??I already had paid!!Plz help @115821",Order Tracking,Escalate to Human
TICKET_181,Yes same account but I now believe that it is my bank having the problems on their end not yours sorry for the inconvenience,Payment Issue,Auto-handle
TICKET_182,Paid for one day shipping. And the carrier is amazon for this order.,Order Tracking,Escalate to Human
TICKET_183,Done.,Other,Auto-handle
TICKET_184,This is the last reply I received. I am sure this product is wrongly deliver and if not show me signature proof then? @115850 https://t.co/t4WVEuxKhN,Order Tracking,Escalate to Human
TICKET_185,@115850 Echo Dot in India doesn't have any India specific apps? Even for traffic it's not taking India address (1/3),Order,Escalate to Human
TICKET_186,UPS tried to deliver my package today but no one was home to sign. Next avail delivery is Mon but I need it tomorrow. Help?,Order Tracking,Escalate to Human
TICKET_187,Nice. I guess I should now expect @115821 customer service to simply apologize and pass me off to someone else? Unbelievable. That link says I should receive a response within 12 HOURS. HOW DOES THAT HELP ME?,Escalation,Escalate to Human
TICKET_188,Had to call regarding one of my parcels. Give Judy a raise. She did a phenomenal job and was extremely helpful. Great customer service,Other,Auto-handle
TICKET_189,@132981 Cheating by amazon. No one is solving. Need help. Did shopping of 5 lac &amp; account blocked with no reason. No answer.,Account Login,Escalate to Human
TICKET_190,"Could u please speak with seller ""Sold by: Cloudtail India Private Limited"" I found segate seal broken and packed with sellotape again.",Replacement,Escalate to Human
TICKET_191,Worst experience ever with @115821 logistics!! I️ need a manager to get ahold of me ASAP. Spoken with 7 people all say different things.,Escalation,Escalate to Human
TICKET_192,"Super disappointed in @115821 lately. Lost packages, multiple wrong charges. What's the point of being prime 🙄🤔",Escalation,Escalate to Human
TICKET_193,@115850 very poor feedback .very disappointing services. https://t.co/VyTFtffRGJ,Escalation,Escalate to Human
TICKET_194,.@115850 Why is the description in German? https://t.co/0siXy1om42,Other,Escalate to Human
TICKET_195,@115850 Again Update details done. Do porper Action That Delivery Agent.Not tell like in Words,Escalation,Escalate to Human
TICKET_196,Details shards please fix this issue I have already given you 13 days of time,Escalation,Escalate to Humane
TICKET_197,Its AMZL US and the tracking number is TBA525656619000,Order Tracking ,Escalate to Human
TICKET_198,"Says I need a membership, yet I’m signed in. With my membership no option to play the movies or tv",Account Login,Escalate to Human
TICKET_199,@115830 Emailed seller twice no delivery was due 16th Nov latest I want my money back Disgusted as these were for rememberance service,Refund,Escalate to Human
TICKET_200,素早い回答ありがとうございます。 引き続き注意します。,Other,Escalate to Human
