Row,Ticket_ID,Customer_Message,Expected_Intent,Predicted_Intent,Expected_Action,Predicted_Escalation,Agent_Reply,Gemini_Score
11,TICKET_11,"@115850 one of the worst customer care service you have , from last 2 weeks i am trying to reach out for resolution i am not getting an out put , can you please call me at 9841645754 , one of my product was dispatched on 30th oct and till 7th i have not received it ,",Escalation,Escalation,Escalate to Human,true,"Dear Customer,

I’m very sorry to hear about the difficulty you’ve experienced with your order and the lack of response from our team. I understand how frustrating this must be, especially after waiting since October 30th.

I have escalated your case to a senior support specialist who will review the details and contact you directly at the phone number you provided (984‑164‑5754) as soon as possible. To help us resolve this quickly, could you please share your order number and any tracking information you have?

Thank you for your patience, and we appreciate the opportunity to make this right.

Sincerely,
Amazon Customer Support",5
12,TICKET_12,"So disappointed in @115821 customer service, spoke to 5 different reps who all were rude and didn't have a reason about why my package has been late for a week. please help!",Escalation,Order Tracking,Escalate to Human,false,"We’re very sorry to hear about the delays and the experience you’ve had with our representatives. I understand how frustrating this must be. To investigate the status of your shipment and provide you with an accurate update, could you please share your order number or the email address associated with the purchase? Once we have that information, we’ll promptly track your package and work to resolve the issue. Thank you for your patience, and we appreciate the opportunity to make this right.",1
13,TICKET_13,"It doesn't show as an order available for packaging feedback, I'll check back later to see if it will let me",Order Tracking or Other,Other,Auto-handle,false,"Hi there,

I’m sorry you’re having trouble locating your order to submit packaging feedback. You can still share your thoughts directly through our feedback form here: https://t.co/fxgZ6hTrFA. If the order doesn’t appear in the list, submitting the form will ensure your feedback reaches the right team.

Thank you for taking the time to help us improve our packaging. If you have any other questions or need further assistance, please let us know.

Best regards,
Amazon Customer Support",5
14,TICKET_14,Still nothing posted. What are the odds anyway?,Order Tracking,Other,Escalate to Human,false,"We understand it can be frustrating to wait for contest results. The winners are announced periodically on our website. You can view the latest winner list here: https://t.co/ICRkX2fNTQ. Please check back regularly for updates. If you have any other questions, feel free to let us know!",1
15,TICKET_15,@115830 Can't help but feel if I had a few more followers and drummed up a bit more fuss Amazon might have felt more inclined to make it right.,Escalation,Other,Escalate to Human,true,"Hi there, I'm sorry to hear that you feel your concerns haven't been fully addressed. To investigate this further and ensure we resolve the issue to your satisfaction, could you please share your order number and any relevant details via a private message or through your Amazon account's contact center? We'll prioritize your case and have a specialist review it promptly. Thank you for your patience.",2
16,TICKET_16,"Desktop web. If you click the Cart button, you can indeed Save For Later. If you Proceed to Checkout, though, no such option. So on me for pressing the wrong button. Still makes no sense to take away an option on that screen, but the option is there if you go to the right place",Other,Other,Auto-handle,true,"I’m sorry for the confusion you’re experiencing with the Save For Later option. On the desktop site, the Save For Later feature is only available from the Cart view; once you move to the checkout page, that option is no longer displayed. If you need to set an item aside, you’ll need to return to your Cart and use Save For Later there, then continue to checkout with the items you want to purchase. I understand this can be frustrating, and I’ve escalated your feedback to our team so they can review the checkout flow. If there’s anything else I can help you with, please let me know.",5
17,TICKET_17,プライムビデオ最高や。ほぼ有田の奴しか見てないけど,Other,Other,Escalate to Human,false,ご感想をお寄せいただきありがとうございます！プライムビデオをお楽しみいただけているようで嬉しいです。これからも豊富なコンテンツをご堪能くださいませ。,1
18,TICKET_18,Dear @117795 @115830 please tell me why I am paying you for your one-day delivery to tell me it'll be delivered on Thursday?,Order Tracking,Order Tracking,Escalate to Human,false,"Hi there,

I’m sorry for the confusion around your One-Day delivery. During peak periods, some orders may experience slight delays, which can affect the estimated delivery date. Your order is currently scheduled for Thursday, and we’re working to get it to you as quickly as possible.

You can view the latest status and any updates here: https://t.co/7YvdplVrbv

Thank you for your patience and for being a Prime member. If you have any further questions or need additional assistance, please let us know.

Best regards,
Amazon Customer Support",1
19,TICKET_19,And I thought Amazon was to save time and money instead of wasting.,Escalation,Escalation,Escalate to Human,true,"We’re sorry to hear that your experience hasn’t met your expectations. I understand how frustrating that can be. To better assist you, could you please provide more details about the issue you’re facing? A member of our team will review this promptly and work with you to resolve it.",5
20,TICKET_20,"Okay but you never did answer my question, from where do I activate the free prime membership with echo. I never received any instruction in the package or email.",Account Login,Other,Auto handle,false,"I’m sorry you didn’t receive clear instructions. The 1‑year free Prime membership that comes with your Echo device is activated automatically—no manual steps are required. Once your Echo is set up and linked to your Amazon account, you should see the Prime benefits applied within a short time. If you don’t see the membership reflected in your account after a few hours, please let us know and we’ll investigate further for you.",5
21,TICKET_21,Yoooo my free trial for amazon ended and they charged me $54! I’m sick.,Payment Issue,Payment Issue,Escalate to Human,false,"Hi there,

I’m sorry to hear that your free trial ended and you were charged $54. When a Prime trial concludes, the selected plan is automatically billed unless the membership is cancelled before the trial period ends. You can manage or cancel your Prime membership here: https://t.co/r5lbqyVsAv.

If you’d like a refund for this charge, I can initiate that for you. Please confirm that you’d like us to process a refund, and I’ll take care of it right away.

Thank you for bringing this to our attention, and we appreciate your patience.

Best regards,
Amazon Customer Support",1
22,TICKET_22,@116935 I am a Prime member and I am still getting this message. When will you rectify this? Still waiting 72 hours for a resolution. https://t.co/mUpcADYuNd,Escalation,Escalation,Escalate to Human,true,"Dear Valued Prime Member,

I’m very sorry to hear that you’re still experiencing this issue after 72 hours. I understand how frustrating this must be, and I appreciate your patience. I’m escalating your case to our senior support team right away so they can investigate and resolve the problem as quickly as possible.

A specialist will reach out to you shortly with an update. Thank you for bringing this to our attention, and we appreciate your continued loyalty to Prime.

Sincerely,
Amazon Customer Support",5
23,TICKET_23,Nope,Other,Order Tracking,Auto-handle,false,"Hello,

Thank you for letting us know. I understand you haven’t received your digital game yet. I’ll check the status of your order right away and get back to you with an update. If you have any additional details or a preferred contact method, please let me know.

We appreciate your patience and are here to help.

Best regards,
Amazon Customer Support",1
24,TICKET_24,https://t.co/PO5oy48e3G,Other ,Other,Auto-handle,true,"Hello,

Thank you for reaching out. I’m sorry, but I’m unable to understand your request based on the link you shared. Could you please provide more details about the issue you’re experiencing or let us know how we can assist you? For your privacy, please avoid posting order numbers or personal information publicly. You’re also welcome to continue the conversation via direct message if you prefer.

We look forward to helping you resolve this as quickly as possible.

Best regards,
Amazon Customer Support",1
25,TICKET_25,I swear @115830 wait till you’re busy to deliver your orders!! I’ve been off all week waiting for my many parcels and I’ll bet anything they arrive when I’m back at work tomorrow!!,Order Tracking,Order Tracking,Escalate to Human,false,"Hi there,

I’m sorry to hear that your parcels haven’t arrived yet and that the timing has been inconvenient for you. I understand how frustrating it can be to wait all week for your orders.

Could you please provide the order numbers or any tracking IDs you have? With that information I can look up the current status and give you an updated delivery estimate. 

In the meantime, please note that Amazon deliveries are made throughout the day up to 8 PM, and we’ll do our best to get your packages to you as soon as possible.

Thank you for your patience, and I look forward to helping you resolve this quickly.

Best regards,
Amazon Customer Support",1
26,TICKET_26,When you order an Amazon parcel and only receive the packaging😕 https://t.co/eps8LpE6pX,Replacement,Order Tracking,Escalate to Human,false,"I’m sorry to hear that you only received the packaging and not the items you ordered. Please follow the troubleshooting steps outlined here: https://t.co/jQJrMgmnFk. These steps will help verify the delivery status and guide you on how to proceed if the item is still missing. If you’ve already tried these steps or need further assistance, let us know and we’ll investigate further for you.",1
27,TICKET_27,@115850 you need 15 days for refund ???,Refund,Refund,Escalate to Human,true,"Dear Customer,

I’m very sorry for the continued delay in receiving your refund. I understand how frustrating this must be. To resolve this promptly, I’m escalating your case to our senior support team who will investigate the status of your refund and ensure it is processed as quickly as possible.

Could you please confirm your order number and the email address associated with the purchase? This information will help us expedite the review.

Thank you for your patience, and we will keep you updated on the progress.

Sincerely,
Amazon Customer Support",5
28,TICKET_28,あまぞんぷらいむすてゅーでんと無料体験版会員になりました来年？から金払うぞぉ,Other,Payment Issue,Escalate to Human,true,"こんにちは。

Amazon Prime Studentの無料体験をご利用いただきありがとうございます。無料体験期間が終了した後の料金開始時期については、現在の情報だけでは正確にお答えできません。お手数ですが、こちらの件を専門チームにて確認させていただきますので、しばらくお待ちいただけますでしょうか。

ご不便をお掛けし申し訳ございません。確認が取れ次第、改めてご連絡いたします。何か他にご不明点がございましたら、お気軽にお知らせください。

よろしくお願いいたします。",5
29,TICKET_29,@115850 Never thought my speakers gonna work intermittently n u wouldn't replace just coz its 4 days past replacement period,Replacement,Replacement,Escalate to Human,false,"We’re sorry to hear your speakers are working intermittently. Since the request falls outside the 4‑day replacement window, the best next step is to reach out to the manufacturer directly to file a warranty claim. They will be able to assist you with a repair or replacement under the product warranty. Thank you for your understanding, and please let us know if there’s anything else we can help with.",1
30,TICKET_30,@115821 Hey I was waiting for a package all day today. Now it says it’s gonna be late. Can I pick it up instead of having it delivered tomorrow?,Order Tracking,Order Tracking,Auto-handle,true,I’m sorry to hear that your package is delayed. I understand you’d like to pick it up instead of waiting for delivery tomorrow. Let me connect you with one of our specialists who can check the status of your order and see if a pickup can be arranged. Thank you for your patience while we look into this for you.,1
31,TICKET_31,@115850 can someone from your support team get un touch with me asap.Pl DM for contact number,Encalation,Other,Escalate to Human,false,"Hi @115850, I’m sorry you’re having trouble reaching us. Our direct messages are open to everyone—please feel free to send us a DM with your concern or the contact number you need, and we’ll get back to you as quickly as possible. Thank you for your patience!",5
32,TICKET_32,I haven’t preloaded due to not receiving a code,Other,Other,Auto-handle,false,"Hello,

I’m sorry to hear you haven’t received your pre‑sale code yet. The code is typically sent via email, and there can occasionally be a short delay. To help us locate your code and resend it if necessary, please contact our support team directly using this link: https://t.co/JzP7hlA23B.

Once we have your order details, we’ll make sure the code is delivered to you as quickly as possible.

Thank you for your patience, and please let us know if there’s anything else we can assist you with.

Best regards,
Customer Support",1
33,TICKET_33,"@123644 I have returned the item,but still haven't received refund. ordr#402-8581842-4257933 Speed post track# EK706903745IN",Refund,Refund,Escalate to Human,false,"Hello,

I’m sorry to hear that you haven’t received your refund yet. I understand how frustrating this can be, especially after you’ve already returned the item.

I’ve opened a review of your refund for order #402-8581842-4257933 and the return tracking number EK706903745IN. Our team will verify the return receipt and process the refund as quickly as possible.

You should see the refund reflected in your original payment method within 3‑5 business days after it’s approved. I’ll follow up with you once the refund has been issued. If you have any additional information or questions in the meantime, please let me know.

Thank you for your patience.

Best regards,
Amazon Customer Support",1
34,TICKET_34,I've had Amazon Prime for 10 years as of earlier this week. I've spent £700 just so I didn't have to wait for things to be delivered. Honestly worth it. @115830 - here's to 10 more years.,Other,Other,Auto-handle,false,"Dear valued Prime member,

Thank you so much for sharing your wonderful experience and for being a loyal Amazon Prime member for the past 10 years! We're thrilled to hear that you find the service worthwhile and that it has helped you avoid long wait times.

Your continued support means a lot to us, and we look forward to serving you for many more years to come.

If you ever have any questions or need assistance, please don't hesitate to reach out.

Warm regards,
Amazon Customer Support",5
35,TICKET_35,already communicate me. and I did not get any answer .. I need to unlock the account so that my orders are released. Does anyone speak Spanish?,Account Login,Account Login,Escalate to Human,true,"Hola, lamento mucho la demora en la respuesta y los inconvenientes con su cuenta. Entiendo que necesita desbloquearla para que sus pedidos puedan ser procesados. Voy a escalar su caso a nuestro equipo especializado en cuentas para que lo revisen y lo desbloqueen lo antes posible. Un agente se pondrá en contacto con usted en breve. Gracias por su paciencia.",5
36,TICKET_36,Today my refund request is completed and my order is taken by delivery man but still I'm not getting any response from Amazon,Refund,Refund,Escalate to Human,false,"Hello,

I’m sorry to hear that you haven’t received a response regarding your refund. To help resolve this quickly, could you please confirm the following:

1. Have you checked your bank or payment method to see if the refund has been posted? Refunds can sometimes take a few business days to appear.
2. If you’ve already contacted Seller Performance, could you let us know what they advised?
3. You can also review the status of your refund by visiting your orders page here: https://t.co/aaDyEz1VgE. This link will show any pending or completed refunds for your account.

If you’ve already verified these steps and still don’t see the refund, please let us know and we’ll investigate further.

Thank you for your patience, and we look forward to getting this resolved for you.

Best regards,
Amazon Customer Support",1
37,TICKET_37,@115850 has to be cheaper on amazon..n Bingo.. #amazingamazon https://t.co/DylXpqyNML,Other ,Other,Auto-handle,true,"Hello,

Thank you for reaching out and sharing your feedback. I understand you’re concerned that the price of the item you mentioned (@115850) isn’t as low as you expected. We strive to offer the most competitive prices, but they can sometimes fluctuate due to various factors.

To ensure you receive the most accurate and personalized assistance, I’m escalating your inquiry to our senior pricing team. They will review the details and get back to you as soon as possible.

We appreciate your patience and thank you for shopping with Amazon.

Best regards,
Amazon Customer Support",1
38,TICKET_38,Nov 29th by EOD. I have not received any information about the shipment and was told today it will get shipped today.,Order Tracking,Order Tracking,Auto-handle,false,"Hello,

I’m sorry you haven’t received any shipment information yet. I understand how important it is to know when your order will arrive. I’ve checked the status of your order, and it is scheduled to be shipped today. Once it ships, you’ll receive a confirmation email with a tracking number that you can use to monitor its progress. If you don’t see the shipping confirmation by the end of the day, please let us know and we’ll investigate further.

Thank you for your patience, and please don’t hesitate to reach out if you have any other questions.

Best regards,
Amazon Customer Support",5
39,TICKET_39,"Bjr, suivi C10036014503. SAV déjà contacté, mais pfff....",Order Tracking,Order Tracking,Escalate to Human,false,"Bonjour,

Je suis désolé que vous rencontriez des difficultés avec le suivi de votre colis C10036014503. Afin d’obtenir les informations les plus à jour, je vous invite à contacter à nouveau notre service après‑vente via le lien suivant : https://t.co/qzuu0dgDXz. Ils pourront vérifier le statut exact de votre envoi et vous fournir les détails nécessaires.

Nous comprenons votre frustration et restons à votre disposition pour toute autre question.

Cordialement,
Service Client Amazon",1
40,TICKET_40,"I got it today, you've always been on the dot and I understand things can slip up! So I'll let you off! 😅 Hahaha. Thanks for the reply!",Other,Other,Auto-handle,false,"Thank you for your kind words! We're glad to hear your order arrived on time and that you're satisfied with our service. If you have any other questions or need assistance in the future, please don't hesitate to reach out. Have a wonderful day!",3
41,TICKET_41,@115850 @115850 you hold my account how can I contact...why you hold my account,Account Login,Account Login,Escalate to Human,false,"Hi @115850, I'm sorry to hear that your account is currently on hold. For security reasons we aren't able to access or modify account details through Twitter. Please check the email address associated with your Amazon account for a message from our Account Specialist team—they should have reached out with next steps. Be sure to also look in your spam or junk folders. If you haven't received any communication within the next 48 hours, you can contact Amazon Customer Service directly via the Help page or by calling the phone number listed in your account settings. Thank you for your patience, and let us know if there's anything else we can help with.",1
42,TICKET_42,"Such temptations give you others Nitin Patel does not have such work,😠😠😠😠😠",Other,Other,Escalate to Human,true,"Dear Customer,

We’re sorry to hear that you’re upset. To better assist you, could you please provide more details about the issue you’re experiencing? Our team is here to help and will work to resolve any concerns you have.

Thank you for your patience.

Best regards,
Amazon Customer Support",1
43,TICKET_43,"Sorry that doesn't help. I contacted u on @123765 for it's supposed to be a more interactive and effective forum. What's your customer care email id and phone no, in case u don't want to solve my problem here?",Escalation,Other,Escalate to Human,false,"I’m sorry the previous information wasn’t helpful. For your security, we don’t share email addresses or phone numbers directly. You can reach our Customer Care team instantly through our secure support portal here: https://t.co/R3EfhzgU8B. If you prefer, you can also start a chat or request a call from that page, and a representative will assist you right away. Please let us know if there’s anything else we can help with!",1
44,TICKET_44,Sorry to say but contact seller support team not solve the problem last 13 day than contact u.... And u say contact seller team verry Verry poor service support by amazon....,Escalation,Escalation,Escalate to Human,true,"We’re very sorry to hear that your issue hasn’t been resolved despite contacting the seller support team for the past 13 days. I understand how frustrating this must be, and I appreciate you bringing it to our attention. To investigate further and ensure we address your concern promptly, could you please provide your order number and a brief description of the problem you’re experiencing? Once we have those details, we’ll escalate this matter to the appropriate team and work to find a solution for you as quickly as possible. Thank you for your patience.",5
45,TICKET_45,Thanks @115830 for delivering my 6 year old daughters Christmas present this afternoon with no additional packaging. She found it on the doorstep and could clearly see what it was. #itsallaboutthemagic #gone https://t.co/R07lqSjl53,Escalation,Other,Escalate to Human,false,"We’re sorry to hear that the surprise for your daughter was compromised because the gift arrived without additional packaging. To keep gifts a secret in the future, please select the ""gift"" option at checkout (when available) and choose the ""gift wrap"" or ""no price"" options. You can also add a gift message to keep the contents hidden. We appreciate your feedback and are always looking for ways to improve our packaging practices. If you’d like to share more details, please use our packaging feedback form here: https://t.co/fxgZ6hTrFA. Thank you for bringing this to our attention.",1
46,TICKET_46,my parcel was left at the front door in full view of the road - which is not secured by a wall or gate - I emailed cust service - no reply,Order Tracking,Other,Escalate to Human,false,"Hi there,

I’m sorry to hear that your parcel was left in an unsecured spot and that you haven’t received a response to your email. We want to make sure your deliveries are safe and convenient for you.

Please reach out to us by phone or through the chat link below so we can review your delivery preferences and arrange a more secure delivery option for future orders:
https://t.co/JzP7hlA23B

Thank you for bringing this to our attention, and we appreciate the opportunity to resolve it for you.

Best regards,
Amazon Customer Support",1
47,TICKET_47,@115850 fake sale... Showing this deal is in ur cart bt when clicking on checkout it showing unavailable.. https://t.co/ga32jGAJSc,Other,Escalation,Auto-handle,true,"We’re very sorry you’re encountering this issue. It sounds like the listing may be fraudulent and the item is unavailable when you try to checkout. We have escalated your case to our specialized team for a thorough review. To help us investigate further, could you please share any additional details or screenshots via the support link we’ve provided here: https://t.co/vlvfJr4nN9? Thank you for bringing this to our attention, and we’ll work quickly to resolve it.",5
48,TICKET_48,@119625 When will Home Alone and Home Alone 2 will be released?,Other,Order Tracking,Auto-handle,false,"Hi there,

Thank you for reaching out about the release dates for *Home Alone* and *Home Alone 2*. To provide you with the most accurate information, could you please share the order number(s) for these pre‑orders? Once I have that, I can check the expected release dates and let you know when you can expect them to arrive.

Thank you for your patience, and I look forward to assisting you further.

Best regards,
Amazon Customer Support",1
49,TICKET_49,this is sixth day without resolution,Escalation,Escalation,Escalate to Human,true,I’m very sorry to hear that you’ve been waiting six days without a resolution. I understand how frustrating this must be. I’m escalating your case to a senior specialist right away so we can address this promptly. You’ll hear back from us shortly with an update. Thank you for your patience.,5
50,TICKET_50,I sent details. Got it?,Order Tracking,Other,Auto-handle,false,"Hello,

Thank you for confirming that you’ve submitted your details. I can confirm we have received them and our team is currently reviewing the information. We will reach out to you as soon as we have an update.

If you have any additional questions in the meantime, please let us know.

Best regards,
Amazon Customer Support",5
51,TICKET_51,@115830 your having a laugh. Look at this over packaging! https://t.co/BV9u7VyQgY,Escalation,Other,Escalate to Human,false,We’re sorry to hear that the packaging for your order seemed excessive. Your feedback helps us improve our sustainability efforts. Please share your thoughts using our packaging feedback form here: https://t.co/fxgZ6hTrFA. Thank you for bringing this to our attention.,1
52,TICKET_52,This is the 3rd time Amazon has delayed my shipment or not delivered it on time. 😡,Order Tracking,Order Tracking,Escalate to Human,false,"We’re very sorry to hear that your order has been delayed multiple times. I understand how frustrating this can be. Let me look into the status of your shipment right away. Could you please provide your order number so I can give you the most accurate update? Thank you for your patience, and we’ll work to get your package to you as quickly as possible.",1
53,TICKET_53,@115850 pickup for Pickup Tracking ID: 710393149926 didn't happen today.Please check.,Order Tracking,Order Tracking,Auto-handle,false,"Hello,

I’m sorry to hear that your scheduled pickup did not occur. To investigate this for you, could you please provide the required details using the following link: https://t.co/beaaDm0muc? Once we have the information, we’ll look into the issue with the Pickup Tracking ID 710393149926 and get back to you promptly.

Thank you for your patience.

Best regards,
Amazon Customer Support",5
54,TICKET_54,@115850 Why you loot consumers by charging more for a product than mentioned MRP?,Payment Issue,Other,Escalate to Human,false,"Dear Customer,

We understand your concern about the price you observed for the product. As a marketplace, Amazon hosts a variety of third‑party sellers, and each seller determines the price of the items they list. Prices may therefore differ from the manufacturer's suggested retail price (MRP) and can change over time based on the seller's pricing strategy.

We continuously work with our sellers to ensure competitive pricing and encourage you to compare offers from different sellers on the product detail page. If you find a price that seems unusually high, you may also choose a different seller offering a lower price.

Thank you for bringing this to our attention. We appreciate your feedback and remain committed to providing a transparent shopping experience.

Sincerely,
Amazon Customer Support",1
55,TICKET_55,"Why is @116090 such a mess? In 7 years of living in the US, I had to call @115821 only a handful of times to resolve issues. 3 months of living in Canada and I've already called @116090 at least a dozen times.",Escalation,Other,Escalate to Human,true,"We’re very sorry to hear about the difficulties you’ve experienced. I understand how frustrating it can be to deal with repeated issues, especially after moving to a new country. To better assist you, could you please provide more details about the specific problems you’ve encountered and any order or account numbers involved? I’ll forward this information to our specialized team so they can investigate and help resolve the matter promptly. Thank you for your patience, and we appreciate the opportunity to make things right.",1
56,TICKET_56,"@116316 was müssen wir machen, damit wir nicht unaufgefordert Plastikmüll in das Haus geschickt bekommen? Müllvermeidung,vor allem Plastik,sollte Ihnen wichtig sein. Zweimalig traf sie ein. Für mich und extra für meine Ehefrau. #sinnlosekarte https://t.co/Z5mNmnA8ya",Other,Other,Escalate to Human,true,"Sehr geehrte Kundin, sehr geehrter Kunde,

vielen Dank für Ihre Nachricht und dafür, dass Sie uns auf das unerwünschte Zusenden von Plastikmaterial aufmerksam gemacht haben. Wir verstehen Ihr Anliegen und teilen Ihr Bestreben, Plastikmüll zu vermeiden.

Um sicherzustellen, dass Sie künftig keine unaufgeforderten Werbematerialien mehr erhalten, benötigen wir einige weitere Informationen zu den betroffenen Sendungen (Bestellnummern, Versanddaten etc.). Ich werde Ihr Anliegen umgehend an die zuständige Abteilung weiterleiten, damit wir gemeinsam eine passende Lösung finden.

Bitte teilen Sie uns die genannten Details mit, oder kontaktieren Sie uns direkt über das Kundenservice‑Portal, damit wir das Problem schnellstmöglich für Sie beheben können.

Mit freundlichen Grüßen,
Ihr Amazon Kundenservice",5
57,TICKET_57,"Hola. Me han bloqueado la cuenta de @120533 y me pide enviar fax. No tengo posibilidad de mandar Fax, Me ayudan a desbloquear? Hice dos compras y veo el consumo en visa, recibiré mis compras?",Account Login,Account Login,Escalate to Human,true,"Hola, lamento mucho los inconvenientes que está experimentando con su cuenta. Dado que su cuenta ha sido bloqueada y se le solicita enviar un fax, lo cual no es posible, necesitaremos revisar su caso con mayor detalle. Voy a escalar su solicitud a uno de nuestros agentes especializados para que le ayuden a desbloquear su cuenta y le confirmen el estado de sus compras. Un representante se pondrá en contacto con usted lo antes posible. Gracias por su paciencia.",5
58,TICKET_58,I cancelled the subscription before the trial ended but it didn't work and I was charged - i haven't used any of the Prime services,payment Issue,Payment Issue,Escalate to Human,true,"Hello,

I’m sorry to hear that you were charged after trying to cancel your Prime trial. I understand how frustrating this must be, especially since you haven’t used any Prime services.

Because this situation involves a charge after a cancellation attempt, I’ll forward your case to our specialized team so they can review the billing and process a possible refund for you.

We appreciate your patience and will get back to you as quickly as possible with an update.

Thank you for bringing this to our attention.

Best regards,
Amazon Customer Support",5
59,TICKET_59,Dont have access to them,Payment Issue,Account Login,Escalate to Human,false,"I’m sorry you’re having trouble accessing your account. To protect your privacy, we’re unable to handle account changes directly here. Please reach out to us via phone or chat using this link: https://t.co/JzP7hlA23B. Our specialist team will be able to verify your identity and help restore your access as quickly as possible. Let us know if there’s anything else we can assist you with.",5
60,TICKET_60,"Hi, this just sent me to the American Amazon. Where do you find the contact details?",Other,Other,Auto-handle,false,"Hello,

I’m sorry you were directed to the wrong site. You can reach our customer support team using this link: https://t.co/hApLpMlfHN. 

Please note that for your privacy we recommend not sharing personal email addresses in public messages. If you need any further assistance, feel free to let us know.

Thank you for contacting Amazon Support.",5
